Unité;F;f_chapitre 22;score_chapitre 22
périgourdin;9;8;6.9016
tragédie;9;8;6.9016
marquise;10;8;6.2453
exempt;6;6;5.8593
dame;21;11;5.6366
Paris;12;8;5.2891
lettre;5;5;4.8825
pièce;11;7;4.4854
nous;183;5;-4.2024
Candide;284;51;3.9438
acteur;4;4;3.9058
ponte;4;4;3.9058
carte;4;4;3.9058
mon;187;6;-3.771
gens;26;10;3.7367
jouer;10;6;3.7011
Pangloss;95;1;-3.5225
contre;20;8;3.2217
dire;408;64;3.0645
Cacambo;84;1;-3.037
reine;3;3;2.9292
FAUX;3;3;2.9292
mademoiselle;45;12;2.7114
mener;34;10;2.687
livre;19;7;2.6334
diamant;24;8;2.6229
son;278;45;2.5986
Martin;104;21;2.5797
roi;52;0;-2.5222
souper;25;8;2.4971
parfaitement;4;3;2.363
jeu;4;3;2.363
fripon;4;3;2.363
dévot;4;3;2.363
C';21;7;2.3524
notre;48;0;-2.3281
baron;46;0;-2.231
sur;125;5;-2.1646
pour;178;9;-2.1464
savant;13;5;2.0893
enterrer;5;3;2.0006
doigt;5;3;2.0006
acteur|actrice;5;3;2.0006
abbé;24;22;19.1515
faubourg;2;2;1.9527
léger;2;2;1.9527
énorme;2;2;1.9527
malade;2;2;1.9527
habitué;2;2;1.9527
clerc;2;2;1.9527
serviable;2;2;1.9527
haïr;2;2;1.9527
folliculaire;2;2;1.9527
Périgourdin;2;2;1.9527
Clairon;2;2;1.9527
pharaon;2;2;1.9527
asseoir;2;2;1.9527
Parolignac;2;2;1.9527
langage;2;2;1.9527
politique;2;2;1.9527
roman;2;2;1.9527
Gauchat;2;2;1.9527
impertinent;2;2;1.9527
ponter;2;2;1.9527
archidiacre;2;2;1.9527
intérêt;2;2;1.9527
poëte;2;2;1.9527
Alors;2;2;1.9527
courtisan;2;2;1.9527
ombre;2;2;1.9527
tache;2;2;1.9527
infidélité;2;2;1.9527
rideau;2;2;1.9527
madame;14;5;1.9364
comme;69;14;1.917
étranger;25;7;1.8992
maître;39;0;-1.8913
terre;38;0;-1.8428
monsieur;51;11;1.7993
Oui;15;5;1.7992
mettre;54;1;-1.7509
gueux;6;3;1.735
maladie;6;3;1.735
attention;6;3;1.735
plupart;6;3;1.735
prix;6;3;1.735
la;27;7;1.7137
parler;46;10;1.7017
père;35;0;-1.6972
manger;33;0;-1.6002
laisser;17;5;1.5625
chose;32;0;-1.5517
jésuite;32;0;-1.5517
aller;91;4;-1.5161
tel;12;4;1.5132
quelquefois;12;4;1.5132
banquier;3;2;1.5073
placer;3;2;1.5073
raisonnement;3;2;1.5073
église;3;2;1.5073
voirie;3;2;1.5073
pistole;3;2;1.5073
suivant;3;2;1.5073
mode;3;2;1.5073
qu';3;2;1.5073
commettre;3;2;1.5073
passage;3;2;1.5073
distinguer;3;2;1.5073
Dorado;3;2;1.5073
causer;3;2;1.5073
Cette;3;2;1.5073
silence;3;2;1.5073
laquais;3;2;1.5073
lumière;3;2;1.5073
coup;30;0;-1.4547
ni;44;9;1.4209
»;196;29;1.4061
mauvais;13;4;1.3905
avoir;724;62;-1.3845
beaucoup;25;6;1.3762
rire;8;3;1.3579
écrire;8;3;1.3579
alors;8;3;1.3579
Bordeaux;8;3;1.3579
[;74;13;1.345
];74;13;1.345
si;122;7;-1.3196
pied;27;0;-1.3092
esprit;14;4;1.2811
ensuite;14;4;1.2811
vieux;42;1;-1.2613
au;194;28;1.2603
remarquer;4;2;1.2376
charmant;4;2;1.2376
théâtre;4;2;1.2376
vilain;4;2;1.2376
compagnie;4;2;1.2376
concevoir;4;2;1.2376
scène;4;2;1.2376
saluer;4;2;1.2376
logis;4;2;1.2376
détestable;4;2;1.2376
théologie;4;2;1.2376
Dieppe;4;2;1.2376
Venise;27;6;1.2313
—;245;34;1.2221
leur;106;6;-1.2194
ramasser;9;3;1.2165
pleurer;9;3;1.2165
foi|fois;25;0;-1.2122
le;2213;212;-1.1926
approcher;15;4;1.1831
bulgare;24;0;-1.1637
jusque;23;0;-1.1152
enfin;38;1;-1.1031
Vestphalie;10;3;1.0961
répliquer;10;3;1.0961
moitié;10;3;1.0961
cependant;10;3;1.0961
honneur;16;4;1.0946
cœur;16;4;1.0946
et;899;82;-1.0756
répondre;44;8;1.0593
arrêter;5;2;1.0469
rang;5;2;1.0469
proposer;5;2;1.0469
querelle;5;2;1.0469
route;5;2;1.0469
compter;5;2;1.0469
offrir;5;2;1.0469
parent|parents;5;2;1.0469
propos;5;2;1.0469
Angleterre;5;2;1.0469
@card@;106;16;1.0414
sœur;21;0;-1.0182
capitaine;21;0;-1.0182
avouer;21;0;-1.0182
inquisiteur;21;0;-1.0182
lui;231;31;1.0096
moi|mois;11;3;0.9921
devoir;24;5;0.9916
donner;73;4;-0.9827
de;1685;194;0.9797
encore;48;2;-0.9771
très-fâché;1;1;0.9763
Académie;1;1;0.9763
adjuger;1;1;0.9763
Nord;1;1;0.9763
B;1;1;0.9763
C;1;1;0.9763
Z;1;1;0.9763
clavelée;1;1;0.9763
Cet;1;1;0.9763
Saint-Marceau;1;1;0.9763
équipage;1;1;0.9763
cassette;1;1;0.9763
pesant;1;1;0.9763
mander;1;1;0.9763
chauffer;1;1;0.9763
bouillon;1;1;0.9763
saignée;1;1;0.9763
sérieux;1;1;0.9763
payable;1;1;0.9763
porteur;1;1;0.9763
importuner;1;1;0.9763
échauffer;1;1;0.9763
scandale;1;1;0.9763
procès-verbal;1;1;0.9763
convalescence;1;1;0.9763
as;1;1;0.9763
empressé;1;1;0.9763
alerte;1;1;0.9763
caressant;1;1;0.9763
accommodant;1;1;0.9763
guetter;1;1;0.9763
scandaleux;1;1;0.9763
comédie;1;1;0.9763
entr'acte;1;1;0.9763
arabe;1;1;0.9763
Arabie;1;1;0.9763
inné;1;1;0.9763
brochure;1;1;0.9763
Cinq;1;1;0.9763
Quinze;1;1;0.9763
seize;1;1;0.9763
Élisabeth;1;1;0.9763
étiquette;1;1;0.9763
Des;1;1;0.9763
Monime;1;1;0.9763
sépulture;1;1;0.9763
pourrir;1;1;0.9763
cimetière;1;1;0.9763
bande;1;1;0.9763
Bourgogne;1;1;0.9763
très-noblement;1;1;0.9763
impoli;1;1;0.9763
contradiction;1;1;0.9763
incompatibilité;1;1;0.9763
tribunal;1;1;0.9763
drôle;1;1;0.9763
mal-vivant;1;1;0.9763
quiconque;1;1;0.9763
réussir;1;1;0.9763
jouissant;1;1;0.9763
littérature;1;1;0.9763
venin;1;1;0.9763
faiseur;1;1;0.9763
Fréron;1;1;0.9763
défiler;1;1;0.9763
Quoique;1;1;0.9763
très-empressé;1;1;0.9763
qualité;1;1;0.9763
Saint-Honoré;1;1;0.9763
registre;1;1;0.9763
cornu;1;1;0.9763
régner;1;1;0.9763
pâleur;1;1;0.9763
impitoyable;1;1;0.9763
lynx;1;1;0.9763
paroli;1;1;0.9763
sept-et-le-va;1;1;0.9763
joueur;1;1;0.9763
corner;1;1;0.9763
décorner;1;1;0.9763
sévère;1;1;0.9763
fâcher;1;1;0.9763
pratique;1;1;0.9763
tâcher;1;1;0.9763
cruauté;1;1;0.9763
gracieux;1;1;0.9763
tout-à-fait;1;1;0.9763
franc;1;1;0.9763
très-gaiement;1;1;0.9763
perte;1;1;0.9763
milord;1;1;0.9763
médisance;1;1;0.9763
sieur;1;1;0.9763
écrit;1;1;0.9763
rassasier;1;1;0.9763
immensité;1;1;0.9763
inonder;1;1;0.9763
Trublet;1;1;0.9763
ennuyeux;1;1;0.9763
curieusement;1;1;0.9763
discuter;1;1;0.9763
pesamment;1;1;0.9763
approprier;1;1;0.9763
piller;1;1;0.9763
appuyer;1;1;0.9763
spectateur;1;1;0.9763
pureté;1;1;0.9763
continu;1;1;0.9763
rime;1;1;0.9763
Quiconque;1;1;0.9763
ajouta-t;1;1;0.9763
règle|règles;1;1;0.9763
écrivain;1;1;0.9763
idylle;1;1;0.9763
dialogue;1;1;0.9763
rimer;1;1;0.9763
amplification;1;1;0.9763
rêve;1;1;0.9763
énergumène;1;1;0.9763
style;1;1;0.9763
interrompre;1;1;0.9763
apostrophe;1;1;0.9763
ampoulé;1;1;0.9763
discoureur;1;1;0.9763
sifflé;1;1;0.9763
boutique;1;1;0.9763
exemplaire;1;1;0.9763
dédier;1;1;0.9763
Moi;1;1;0.9763
excepté;1;1;0.9763
union;1;1;0.9763
janséniste;1;1;0.9763
moliniste;1;1;0.9763
financier;1;1;0.9763
pis;1;1;0.9763
dispenser;1;1;0.9763
faute;1;1;0.9763
éperdument;1;1;0.9763
jarretière;1;1;0.9763
languir;1;1;0.9763
extorquer;1;1;0.9763
illustre;1;1;0.9763
Vestphalienne;1;1;0.9763
rêveur;1;1;0.9763
très-cher;1;1;0.9763
lettrer;1;1;0.9763
inespéré;1;1;0.9763
hôtel;1;1;0.9763
sangloter;1;1;0.9763
soudain;1;1;0.9763
potelé;1;1;0.9763
sac;1;1;0.9763
fauteuil;1;1;0.9763
transport;1;1;0.9763
escouade;1;1;0.9763
suspect;1;1;0.9763
basse-fosse;1;1;0.9763
abuser;1;1;0.9763
procédure;1;1;0.9763
éclairer;1;1;0.9763
impatient;1;1;0.9763
véritable;1;1;0.9763
ivoire;1;1;0.9763
Normandie;1;1;0.9763
arrête-t;1;1;0.9763
Atrébatie;1;1;0.9763
parricide;1;1;0.9763
mai;1;1;0.9763
décembre;1;1;0.9763
commis;1;1;0.9763
danse;1;1;0.9763
agacer;1;1;0.9763
Basse-Normandie;1;1;0.9763
barigel;1;1;0.9763
Normand;1;1;0.9763
maison;20;0;-0.9697
mère;20;0;-0.9697
fille;34;1;-0.9482
nouveau;18;4;0.9413
moi;71;4;-0.9277
vivre;19;0;-0.9212
servir;19;0;-0.9212
«;219;29;0.9211
jour;46;2;-0.9108
cher;33;1;-0.91
sottise;6;2;0.9015
tendre;6;2;0.9015
expliquer;6;2;0.9015
jurer;6;2;0.9015
amant;6;2;0.9015
lieu;6;2;0.9015
occuper;6;2;0.9015
engager;6;2;0.9015
étonner;12;3;0.9011
bientôt;12;3;0.9011
chez;33;6;0.8898
homme;104;15;0.8792
vouloir;64;10;0.8738
droit;18;0;-0.8727
meilleur;18;0;-0.8727
revenir;18;0;-0.8727
voilà;18;0;-0.8727
bout;18;0;-0.8727
vieille;18;0;-0.8727
galère;18;0;-0.8727
patron;18;0;-0.8727
chapitre;32;1;-0.8721
femme;32;1;-0.8721
dans;317;27;-0.8695
être;922;87;-0.8484
même;56;3;-0.8415
je;519;47;-0.8354
tomber;17;0;-0.8242
mort;17;0;-0.8242
juif;17;0;-0.8242
partir;17;0;-0.8242
parce;13;3;0.8209
Ah;13;3;0.8209
pourquoi;13;3;0.8209
main;20;4;0.8133
cela;20;4;0.8133
peine;20;4;0.8133
Elle;7;2;0.7858
lit;7;2;0.7858
dégoûter;7;2;0.7858
combien;7;2;0.7858
médecin;7;2;0.7858
lire;7;2;0.7858
vaisseau;42;2;-0.7818
moment;16;0;-0.7757
déjà;16;0;-0.7757
tu;16;0;-0.7757
cent;29;1;-0.7601
dont;36;6;0.7586
appeler;14;3;0.7497
apprendre;14;3;0.7497
Ce;14;3;0.7497
#NOM?;14;3;0.7497
pas;214;18;-0.7415
naître;15;0;-0.7272
sous;15;0;-0.7272
piastre;15;0;-0.7272
château;28;1;-0.7233
ici;28;1;-0.7233
aussi;40;2;-0.7191
elle;128;17;0.7164
:;206;26;0.7102
pouvoir;120;16;0.7062
cochon;2;1;0.6988
mouchoir;2;1;0.6988
billet;2;1;0.6988
fer;2;1;0.6988
cachot;2;1;0.6988
neuf;2;1;0.6988
coin;2;1;0.6988
exprès;2;1;0.6988
arroser;2;1;0.6988
refermer;2;1;0.6988
réponse;2;1;0.6988
profondément;2;1;0.6988
emmener;2;1;0.6988
détourner;2;1;0.6988
inexprimable;2;1;0.6988
auberge;2;1;0.6988
douceur;2;1;0.6988
civil;2;1;0.6988
tigre;2;1;0.6988
débarrasser;2;1;0.6988
situation;2;1;0.6988
prodigieusement;2;1;0.6988
très-bonne;2;1;0.6988
siège;2;1;0.6988
profiter;2;1;0.6988
vraiment;2;1;0.6988
diviser;2;1;0.6988
introduire;2;1;0.6988
émotion;2;1;0.6988
palpiter;2;1;0.6988
honorer;2;1;0.6988
effronté;2;1;0.6988
clin;2;1;0.6988
remords;2;1;0.6988
légèrement;2;1;0.6988
feuille;2;1;0.6988
mélange;2;1;0.6988
endormir;2;1;0.6988
réveil;2;1;0.6988
remuer;2;1;0.6988
Français;2;1;0.6988
fange;2;1;0.6988
capitale;2;1;0.6988
imaginable;2;1;0.6988
parlement;2;1;0.6988
charge;2;1;0.6988
applaudir;2;1;0.6988
intime;2;1;0.6988
libraire;2;1;0.6988
friponnerie;2;1;0.6988
Monsieur;2;1;0.6988
laine;2;1;0.6988
Cependant;2;1;0.6988
france;2;1;0.6988
polir;2;1;0.6988
enrager;2;1;0.6988
chaise;2;1;0.6988
médecine;2;1;0.6988
épaule;2;1;0.6988
raisonneur;2;1;0.6988
tort;2;1;0.6988
très-content;2;1;0.6988
respecter;2;1;0.6988
refuser;2;1;0.6988
naturellement;2;1;0.6988
front;2;1;0.6988
plaisanterie;2;1;0.6988
insipide;2;1;0.6988
impertinence;2;1;0.6988
mortel;2;1;0.6988
gâter;2;1;0.6988
séduire;2;1;0.6988
bizarre;2;1;0.6988
rebuter;2;1;0.6988
dieu;2;1;0.6988
maxime;2;1;0.6988
gai;2;1;0.6988
mari;2;1;0.6988
éternel;2;1;0.6988
souris;2;1;0.6988
valeur;2;1;0.6988
ailler;2;1;0.6988
ours;2;1;0.6988
méprendre;2;1;0.6988
renvoyer;2;1;0.6988
autre;95;13;0.6979
cinquante;8;2;0.691
année;8;2;0.691
lever;8;2;0.691
remettre;8;2;0.691
guérir;8;2;0.691
vite;8;2;0.691
oreille;8;2;0.691
partie;8;2;0.691
apporter;8;2;0.691
peuple;8;2;0.691
quinze;8;2;0.691
chemin;8;2;0.691
mieux;27;1;-0.6869
ou;38;6;0.6824
épouser;14;0;-0.6787
monseigneur;14;0;-0.6787
effet;14;0;-0.6787
quoique;14;0;-0.6787
argent;14;0;-0.6787
payer|payer;14;0;-0.6787
enfant;14;0;-0.6787
soldat;14;0;-0.6787
discours;14;0;-0.6787
Paquette;14;0;-0.6787
mer;14;0;-0.6787
sommer|être;14;0;-0.6787
révérend;14;0;-0.6787
Pococurante;14;0;-0.6787
paraître;23;4;0.6573
plaisir;23;4;0.6573
peu;49;3;-0.647
quand;60;4;-0.6441
plus;176;15;-0.6418
faire;273;33;0.6375
porte;13;0;-0.6302
derrière;13;0;-0.6302
grâce;13;0;-0.6302
vieillard;13;0;-0.6302
heure;13;0;-0.6302
noir;13;0;-0.6302
vérité;13;0;-0.6302
cheval;13;0;-0.6302
valet;13;0;-0.6302
Europe;13;0;-0.6302
tuer;37;2;-0.6277
là;25;1;-0.6151
écouter;9;2;0.6116
amener;9;2;0.6116
voyageur;9;2;0.6116
goût;9;2;0.6116
idée;9;2;0.6116
à;643;62;-0.6111
assez;32;5;0.6106
par;122;10;-0.607
jamais;49;7;0.5911
toujours;49;7;0.5911
âme;12;0;-0.5817
manquer;12;0;-0.5817
dix;12;0;-0.5817
présent;12;0;-0.5817
état;12;0;-0.5817
courir;12;0;-0.5817
présenter;12;0;-0.5817
Constantinople;12;0;-0.5817
entre;17;3;0.5773
connaître;17;3;0.5773
penser;17;3;0.5773
demander;33;5;0.5753
il;736;72;-0.5743
entrer;25;4;0.572
qui;351;41;0.5688
fort;35;2;-0.5687
arriver;35;2;-0.5687
on;243;29;0.568
bien;119;10;-0.5579
ne;507;49;-0.549
observer;3;1;0.5459
mérite;3;1;0.5459
bâton;3;1;0.5459
humain;3;1;0.5459
cul;3;1;0.5459
brave;3;1;0.5459
ôter;3;1;0.5459
émouvoir;3;1;0.5459
page;3;1;0.5459
nombre;3;1;0.5459
rudement;3;1;0.5459
aide;3;1;0.5459
rade;3;1;0.5459
incontinent;3;1;0.5459
éclat;3;1;0.5459
procurer;3;1;0.5459
pardon;3;1;0.5459
campagne;3;1;0.5459
escalier;3;1;0.5459
laisse;3;1;0.5459
pleurant;3;1;0.5459
commun;3;1;0.5459
sentiment;3;1;0.5459
barbare;3;1;0.5459
partager;3;1;0.5459
ouvrir;3;1;0.5459
infortune;3;1;0.5459
serpent;3;1;0.5459
monstre;3;1;0.5459
attaquer;3;1;0.5459
figurer;3;1;0.5459
action;3;1;0.5459
politesse;3;1;0.5459
avertir;3;1;0.5459
présence;3;1;0.5459
Dans;3;1;0.5459
dessein;3;1;0.5459
avantage;3;1;0.5459
moquer;3;1;0.5459
agir;3;1;0.5459
fatigue;3;1;0.5459
nourrir;3;1;0.5459
plutôt;3;1;0.5459
innocence;3;1;0.5459
est-à-dire;3;1;0.5459
exposer;3;1;0.5459
sang-froid;3;1;0.5459
accommoder;3;1;0.5459
empressement;3;1;0.5459
content;3;1;0.5459
imaginer;3;1;0.5459
sublime;3;1;0.5459
très-peu;3;1;0.5459
merveille;3;1;0.5459
Portsmouth;3;1;0.5459
occasion;3;1;0.5459
rester;23;1;-0.5449
chasser;10;2;0.5441
quartier;10;2;0.5441
Et;10;2;0.5441
abord;10;2;0.5441
seul;10;2;0.5441
autant;10;2;0.5441
pauvre;10;2;0.5441
soin;10;2;0.5441
rouge;10;2;0.5441
France;10;2;0.5441
nommer;11;0;-0.5333
seigneur;11;0;-0.5333
cause;11;0;-0.5333
dîner;11;0;-0.5333
brûler;11;0;-0.5333
Mon;11;0;-0.5333
ton;11;0;-0.5333
anabaptiste;11;0;-0.5333
travailler;11;0;-0.5333
corps;11;0;-0.5333
éprouver;11;0;-0.5333
partout;11;0;-0.5333
royaume;11;0;-0.5333
commandant;11;0;-0.5333
Majesté;11;0;-0.5333
auprès;18;3;0.5307
regarder;22;1;-0.5105
Dieu;22;1;-0.5105
deux;146;13;-0.5062
perdre;27;4;0.4985
aimer;27;4;0.4985
où;44;6;0.4968
un;764;85;0.4939
chacun;19;3;0.4883
vie;19;3;0.4883
Thunder-ten-tronckh;11;2;0.4861
cabaret;11;2;0.4861
côté;11;2;0.4861
raisonner;11;2;0.4861
air;11;2;0.4861
aucun;11;2;0.4861
me;224;21;-0.4851
nature;10;0;-0.4848
ancien;10;0;-0.4848
fil|fils;10;0;-0.4848
haut;10;0;-0.4848
marcher;10;0;-0.4848
ciel;10;0;-0.4848
trente;10;0;-0.4848
espèce;10;0;-0.4848
don;10;0;-0.4848
couper;10;0;-0.4848
violer;10;0;-0.4848
malheureux;10;0;-0.4848
prince;10;0;-0.4848
disputer;10;0;-0.4848
espagnol;10;0;-0.4848
carnaval;10;0;-0.4848
six;21;1;-0.4765
se;288;33;0.4731
grand;73;6;-0.4719
quel;42;3;-0.4694
donc;28;4;0.4656
beau;62;5;-0.4565
la|le;153;18;0.4552
trois;37;5;0.4537
avec;126;15;0.4534
fenêtre;4;1;0.4436
âgé;4;1;0.4436
foi;4;1;0.4436
démontrer;4;1;0.4436
science;4;1;0.4436
taille;4;1;0.4436
crime;4;1;0.4436
harmonie;4;1;0.4436
enfer;4;1;0.4436
personnage;4;1;0.4436
force;4;1;0.4436
rue;4;1;0.4436
réparer;4;1;0.4436
demain;4;1;0.4436
canapé;4;1;0.4436
brillant;4;1;0.4436
accabler;4;1;0.4436
raconter;4;1;0.4436
foule;4;1;0.4436
séparer;4;1;0.4436
sourire;4;1;0.4436
passion;4;1;0.4436
aise;4;1;0.4436
inquiétude;4;1;0.4436
délivrer;4;1;0.4436
absolument;4;1;0.4436
congé;4;1;0.4436
transporter;4;1;0.4436
coûter;4;1;0.4436
manichéen;4;1;0.4436
Cela;4;1;0.4436
fond;4;1;0.4436
auteur;4;1;0.4436
anglais;4;1;0.4436
tableau;4;1;0.4436
raison;20;1;-0.443
porter;20;1;-0.443
quelque;64;8;0.4399
Cunégonde;118;14;0.4384
baiser;9;0;-0.4363
voisin;9;0;-0.4363
appartenir;9;0;-0.4363
diable;9;0;-0.4363
Lisbonne;9;0;-0.4363
affaire;9;0;-0.4363
aborder;9;0;-0.4363
Portugal;9;0;-0.4363
Issachar;9;0;-0.4363
palais;9;0;-0.4363
beauté;9;0;-0.4363
Italie;9;0;-0.4363
esclave;9;0;-0.4363
marchand;9;0;-0.4363
oser;9;0;-0.4363
heureux;9;0;-0.4363
charger;9;0;-0.4363
te;9;0;-0.4363
théatin;9;0;-0.4363
an;12;2;0.4357
docteur;12;2;0.4357
sortir;12;2;0.4357
gros;12;2;0.4357
suivre;12;2;0.4357
revoir;12;2;0.4357
mourir;29;4;0.4349
celui;38;5;0.4275
?;169;16;-0.4214
jeune;21;3;0.4144
rendre;21;3;0.4144
tant;21;3;0.4144
car;39;5;0.4029
temps;29;2;-0.4021
mille;48;6;0.4016
mais;130;15;0.399
ce;510;56;0.3988
.;1214;125;-0.3947
traiter;13;2;0.3916
Votre;13;2;0.3916
fin;8;0;-0.3878
conclure;8;0;-0.3878
bonheur;8;0;-0.3878
faim;8;0;-0.3878
messieurs;8;0;-0.3878
Oh;8;0;-0.3878
crier;8;0;-0.3878
chrétien;8;0;-0.3878
Jacques;8;0;-0.3878
peut-être;8;0;-0.3878
aujourd'hui;8;0;-0.3878
vue;8;0;-0.3878
cri;8;0;-0.3878
matelot;8;0;-0.3878
acheter;8;0;-0.3878
soutenir;8;0;-0.3878
jardin;8;0;-0.3878
Quoi;8;0;-0.3878
blanc;8;0;-0.3878
tantôt;8;0;-0.3878
prêt;8;0;-0.3878
En;8;0;-0.3878
épée;8;0;-0.3878
maître|maîtresse;8;0;-0.3878
davantage;8;0;-0.3878
nègre;8;0;-0.3878
français;8;0;-0.3878
moine;8;0;-0.3878
puisque;8;0;-0.3878
Sa;8;0;-0.3878
million;8;0;-0.3878
Surinam;8;0;-0.3878
laid;8;0;-0.3878
détrôner;8;0;-0.3878
ville;22;3;0.3822
quatre;18;1;-0.3776
voler;18;1;-0.3776
remplir;5;1;0.3689
parmi;5;1;0.3689
ordonner;5;1;0.3689
selon;5;1;0.3689
Qu';5;1;0.3689
terme;5;1;0.3689
admirable;5;1;0.3689
puis;5;1;0.3689
connaissance;5;1;0.3689
convive;5;1;0.3689
cabinet;5;1;0.3689
profond;5;1;0.3689
nuit;5;1;0.3689
conseil;5;1;0.3689
Ma;5;1;0.3689
garder;5;1;0.3689
nation;5;1;0.3689
De;5;1;0.3689
eunuque;5;1;0.3689
pourtant;5;1;0.3689
plat;5;1;0.3689
moral;5;1;0.3689
nom;5;1;0.3689
craindre;5;1;0.3689
chère;5;1;0.3689
gouvernement;5;1;0.3689
sujet;5;1;0.3689
envie;5;1;0.3689
Est;5;1;0.3689
curieux;5;1;0.3689
fidèle;5;1;0.3689
vous;329;36;0.3597
suivre|être;47;4;-0.3592
comment;37;3;-0.355
VRAI;14;2;0.3527
ainsi;23;3;0.3526
œil;27;2;-0.3506
monde;60;7;0.3463
table;17;1;-0.3459
vingt;17;1;-0.3459
Hélas;17;1;-0.3459
valoir;17;1;-0.3459
eux;17;1;-0.3459
y;152;15;-0.3415
domestique;7;0;-0.3393
demoiselle;7;0;-0.3393
âge;7;0;-0.3393
prier;7;0;-0.3393
souffrir;7;0;-0.3393
fortune;7;0;-0.3393
trop;7;0;-0.3393
devant;7;0;-0.3393
loi;7;0;-0.3393
métier;7;0;-0.3393
pain;7;0;-0.3393
mériter;7;0;-0.3393
couvrir;7;0;-0.3393
épouvantable;7;0;-0.3393
ah;7;0;-0.3393
souverain;7;0;-0.3393
port;7;0;-0.3393
tremblement;7;0;-0.3393
étendre;7;0;-0.3393
périr;7;0;-0.3393
espérer;7;0;-0.3393
auto-da-fé;7;0;-0.3393
fesser;7;0;-0.3393
feu;7;0;-0.3393
lorsque;7;0;-0.3393
saint;7;0;-0.3393
pierreries;7;0;-0.3393
cunégonde;7;0;-0.3393
montagne;7;0;-0.3393
hôtellerie;7;0;-0.3393
robe;7;0;-0.3393
empereur;7;0;-0.3393
misère;7;0;-0.3393
battre;7;0;-0.3393
officier;7;0;-0.3393
prêtre;7;0;-0.3393
Oreillons;7;0;-0.3393
hôte;7;0;-0.3393
voir;117;13;0.3308
entendre;24;3;0.3255
premier;24;3;0.3255
en;372;40;0.3217
après;45;4;-0.3213
pays;45;4;-0.3213
que;777;81;-0.3189
du;587;61;-0.3184
reprendre;15;2;0.3183
Mais;15;2;0.3183
apercevoir;15;2;0.3183
philosophe;16;1;-0.3148
tête;16;1;-0.3148
tenir;16;1;-0.3148
venir;35;3;-0.3127
autrement;6;1;0.3115
attentivement;6;1;0.3115
voix;6;1;0.3115
trembler;6;1;0.3115
traîner;6;1;0.3115
tendrement;6;1;0.3115
chaque;6;1;0.3115
naturel;6;1;0.3115
achever;6;1;0.3115
hors;6;1;0.3115
Que;6;1;0.3115
empêcher;6;1;0.3115
Voilà;6;1;0.3115
justice;6;1;0.3115
triste;6;1;0.3115
spectacle;6;1;0.3115
huit;6;1;0.3115
J';6;1;0.3115
redoubler;6;1;0.3115
commencer;6;1;0.3115
Quel;6;1;0.3115
plaindre;6;1;0.3115
juger;6;1;0.3115
peur;6;1;0.3115
souvenir;6;1;0.3115
aussitôt;6;1;0.3115
Allemagne;6;1;0.3115
ensemble;6;1;0.3115
quitter;6;1;0.3115
martin;6;1;0.3115
,;2730;289;0.308
savoir;53;6;0.3068
!;186;19;-0.302
personne;25;2;-0.3015
mal;25;2;-0.3015
recevoir;25;2;-0.3015
sans;44;5;0.2991
prendre;63;7;0.2983
mœurs;6;0;-0.2908
soixante;6;0;-0.2908
orner;6;0;-0.2908
besoin;6;0;-0.2908
nez;6;0;-0.2908
jambe;6;0;-0.2908
avancer;6;0;-0.2908
troisième;6;0;-0.2908
suffisant;6;0;-0.2908
agréable;6;0;-0.2908
…;6;0;-0.2908
Bulgares;6;0;-0.2908
Comment;6;0;-0.2908
gauche;6;0;-0.2908
baguette;6;0;-0.2908
informer;6;0;-0.2908
chirurgien;6;0;-0.2908
canon;6;0;-0.2908
coquin;6;0;-0.2908
dernier;6;0;-0.2908
enfuir;6;0;-0.2908
douter;6;0;-0.2908
pape;6;0;-0.2908
misérable;6;0;-0.2908
manière;6;0;-0.2908
cordelier;6;0;-0.2908
turc;6;0;-0.2908
avis;6;0;-0.2908
rivage;6;0;-0.2908
habitant;6;0;-0.2908
vin;6;0;-0.2908
repas;6;0;-0.2908
quart;6;0;-0.2908
surprendre;6;0;-0.2908
surprise;6;0;-0.2908
désespoir;6;0;-0.2908
andalou;6;0;-0.2908
Cadix;6;0;-0.2908
Espagne;6;0;-0.2908
emporter;6;0;-0.2908
allemand;6;0;-0.2908
ennemi;6;0;-0.2908
bord;6;0;-0.2908
Espagnol;6;0;-0.2908
visage;6;0;-0.2908
accompagner;6;0;-0.2908
amiral;6;0;-0.2908
